idDevedores,Valor,QtdTitulos
13247,360,00,1
13248,6336,00,9
13249,3600,00,10
13250,5900,00,15
13251,18550,00,7
13252,2520,00,7
13254,1800,00,5
13255,300,00,1
13256,2160,00,6
13257,1500,00,3
13258,2880,00,8
13259,1080,00,3
13260,360,00,1
13262,7035,00,7
13263,6994,50,23
13264,3600,00,10
13265,700,00,1
13266,1567,50,3
13267,140,00,5
13269,9020,00,6
13270,500,00,2
13271,360,00,1
13272,1757,20,4
13273,4012,08,16
13274,854,25,1
13276,600,00,2
13277,1080,00,1
13278,900,00,3
13279,3806,08,14
13280,2142,00,7
13281,480,00,1
13284,3328,75,13
13285,2500,00,1
13286,2520,00,7
13287,6694,50,22
13288,5973,71,17
13289,4024,16,1
13290,300,00,1
13291,7500,00,3
13292,15680,00,8
13295,7500,00,3
13296,3240,00,9
13297,4235,00,7
13298,4320,00,12
13301,4000,00,8
13302,768,00,2
13303,22500,00,9
13304,261,25,1
13305,350,00,1
13306,14745,00,10
13308,300,00,1
13309,360,00,1
13310,8640,00,4
13311,3960,00,11
13312,262,08,1
13313,360,00,1
13315,360,00,1
13318,6000,00,12
13319,2264,32,8
13320,1250,00,5
13321,6662,18,18
13322,2880,00,8
13323,20000,00,8
13324,700,00,1
13325,2880,00,8
13326,778,00,4
13329,2880,00,8
13330,4320,00,12
13331,7500,00,3
13332,2754,00,9
13333,720,00,2
13334,1530,00,5
13335,4012,08,16
13336,1798,32,3
13337,10000,00,4
13338,854,25,1
13339,2880,00,5
13340,1500,00,5
13341,1512,00,4
13342,1293,06,1
13343,2600,00,10
13346,2500,00,1
13347,2520,00,1
13348,840,00,15
13349,2520,00,7
13350,300,00,1
13351,6240,00,3
13352,633,60,9
13353,500,00,1
13354,2500,00,1
13355,600,00,2
13356,2056,25,8
13357,720,00,2
13358,10000,00,4
13359,448,00,16
13360,27500,00,11
13361,9045,00,9
13364,720,00,1
13365,252,00,9
13366,2274,16,9
13367,3614,49,12
13368,1008,00,9
13369,2520,00,7
13370,3024,16,12
13373,3600,00,10
13374,9396,75,11
13376,3600,00,10
13377,306,00,1
13378,1292,00,1
13379,5485,05,20
13380,3366,00,4
13381,524,15,1
13382,840,00,15
13383,4320,00,12
13384,2793,32,8
13385,360,00,1
13386,5292,28,7
13387,1240,00,1
13388,2880,00,8
13389,345,00,1
13390,300,00,1
13391,360,00,1
13392,224,00,8
13393,598,40,1
13394,1240,00,1
13395,7353,71,21
